INSEE_COM,annee,nb_mutations,NbMaisons,NbApparts,PropMaison,PropAppart,PrixMoyen,Prixm2Moyen,SurfaceMoy
02048,2024,2,2,0,0,100,99500,1152,88
02049,2024,4,4,0,0,100,163875,1744,92
02050,2024,4,4,0,0,100,129500,1528,84
02051,2024,3,3,0,0,100,136667,1758,81
02052,2024,4,4,0,0,100,61975,938,70
02053,2024,5,5,0,0,100,95600,1151,88
02054,2024,5,5,0,0,100,150000,1748,91
02055,2024,1,1,0,0,100,71200,975,73
02056,2024,2,2,0,0,100,126900,1383,96
02057,2024,12,12,0,0,100,66107,836,79
02058,2024,3,3,0,0,100,131417,1240,102
02059,2024,26,26,0,0,100,83898,1031,81
02060,2024,1,1,0,0,100,93500,649,144
02061,2024,2,2,0,0,100,77500,796,94
02062,2024,1,1,0,0,100,86000,1365,63
02063,2024,7,7,0,0,100,87786,1010,88
02064,2024,25,24,1,4,96,144406,1749,86
02065,2024,5,5,0,0,100,110450,1016,118
02067,2024,5,5,0,0,100,121660,1146,112
02069,2024,2,2,0,0,100,94000,974,94
02070,2024,4,4,0,0,100,86480,918,84
02071,2024,4,4,0,0,100,133725,1506,88
02072,2024,3,3,0,0,100,140133,868,160
02073,2024,1,1,0,0,100,240000,1967,122
02074,2024,6,6,0,0,100,142435,1288,113
02075,2024,4,4,0,0,100,160275,3363,163
02076,2024,1,1,0,0,100,278150,2060,135
02078,2024,2,2,0,0,100,120450,1356,94
02079,2024,2,2,0,0,100,125000,840,149
02080,2024,3,3,0,0,100,141167,1206,112
02081,2024,2,2,0,0,100,75000,1077,70
02082,2024,1,1,0,0,100,34000,567,60
02083,2024,10,10,0,0,100,118710,1084,116
02084,2024,1,1,0,0,100,197000,1698,116
02085,2024,7,7,0,0,100,173357,1840,95
02086,2024,13,13,0,0,100,147277,1199,125
02087,2024,1,1,0,0,100,50000,714,70
02088,2024,1,1,0,0,100,183550,1073,171
02089,2024,9,9,0,0,100,144606,1869,82
02090,2024,1,1,0,0,100,152500,1386,110
02091,2024,1,1,0,0,100,140000,1077,130
02093,2024,18,18,0,0,100,139600,1460,101
02094,2024,4,4,0,0,100,168000,1765,108
02095,2024,70,70,0,0,100,69603,777,88
02096,2024,2,2,0,0,100,215012,848,250
02097,2024,2,2,0,0,100,69925,899,71
02098,2024,6,6,0,0,100,192520,1827,103
02099,2024,3,3,0,0,100,145768,1951,75
02100,2024,3,3,0,0,100,158833,1360,122
02101,2024,4,4,0,0,100,100750,1085,98
02102,2024,2,2,0,0,100,198948,1393,144
02103,2024,16,16,0,0,100,107488,1100,102
02104,2024,3,3,0,0,100,152742,2109,72
02105,2024,4,4,0,0,100,158000,906,158
02106,2024,6,6,0,0,100,115733,1557,76
02109,2024,3,3,0,0,100,123333,1370,89
02110,2024,20,19,1,5,95,140466,1395,102
02111,2024,4,4,0,0,100,83250,1114,74
02112,2024,3,3,0,0,100,125633,1131,109
02114,2024,13,12,1,8,92,178454,2107,86
02118,2024,1,1,0,0,100,120000,1429,84
02120,2024,1,1,0,0,100,80000,1333,60
02123,2024,3,3,0,0,100,144500,1377,104
02124,2024,6,6,0,0,100,90957,1348,74
02126,2024,5,5,0,0,100,82200,719,118
02128,2024,30,29,1,3,97,169997,1695,103
02129,2024,1,1,0,0,100,30000,429,70
02130,2024,3,3,0,0,100,190667,903,213
02131,2024,21,20,1,5,95,164484,1813,92
02133,2024,4,4,0,0,100,93375,943,95
02134,2024,9,9,0,0,100,102301,1249,79
02135,2024,12,12,0,0,100,98108,942,105
02138,2024,2,2,0,0,100,178300,2672,68
02139,2024,4,4,0,0,100,133425,1213,111
02140,2024,8,8,0,0,100,117500,1447,82
02141,2024,15,14,1,7,93,76933,863,89
02142,2024,3,3,0,0,100,214967,2205,97
02143,2024,2,2,0,0,100,70000,505,150
02144,2024,2,2,0,0,100,122500,1423,102
02145,2024,3,3,0,0,100,178833,1459,124
02148,2024,2,2,0,0,100,193500,1733,113
02150,2024,1,1,0,0,100,75000,1389,54
02151,2024,2,2,0,0,100,105475,1372,70
02153,2024,7,7,0,0,100,143779,1566,94
02154,2024,2,2,0,0,100,129235,914,114
02156,2024,5,5,0,0,100,121600,1252,102
02157,2024,3,3,0,0,100,130000,1652,79
02158,2024,4,4,0,0,100,149975,1666,96
02159,2024,2,2,0,0,100,52500,635,84
02160,2024,7,7,0,0,100,59616,772,75
02162,2024,1,1,0,0,100,280000,1944,144
02163,2024,16,15,1,6,94,197250,1952,99
02164,2024,3,3,0,0,100,128167,1475,90
02165,2024,12,12,0,0,100,81771,934,92
02166,2024,6,6,0,0,100,168064,2750,71
02167,2024,5,5,0,0,100,196600,1502,140
02168,2024,119,60,59,50,50,141730,1813,80
02169,2024,1,1,0,0,100,75000,670,112
02172,2024,2,2,0,0,100,164700,1532,105
02173,2024,134,118,16,12,88,109183,1408,80
02174,2024,7,7,0,0,100,198800,1680,132
02175,2024,1,1,0,0,100,92700,1288,72
02176,2024,2,2,0,0,100,127500,881,144
02177,2024,4,4,0,0,100,145825,1304,107
02178,2024,1,1,0,0,100,237000,1756,135
02179,2024,4,4,0,0,100,81975,771,108
02180,2024,5,5,0,0,100,155740,1513,99
02181,2024,1,1,0,0,100,104500,1045,100
02182,2024,1,1,0,0,100,71000,676,105
02185,2024,2,2,0,0,100,78500,906,84
02186,2024,16,14,2,12,88,170250,1666,108
02187,2024,15,14,1,7,93,182800,2122,86
02188,2024,1,1,0,0,100,40000,625,64
02189,2024,3,3,0,0,100,158350,1446,111
02190,2024,2,2,0,0,100,162500,1712,104
02191,2024,5,5,0,0,100,101520,1306,79
02192,2024,5,5,0,0,100,103400,1164,100
02193,2024,1,1,0,0,100,116000,558,208
02194,2024,2,2,0,0,100,152225,1882,81
02195,2024,3,3,0,0,100,180500,1817,102
02196,2024,1,1,0,0,100,42000,467,90
02197,2024,5,5,0,0,100,111000,1158,94
02198,2024,6,6,0,0,100,153100,1638,99
02199,2024,6,6,0,0,100,105000,1164,86
02201,2024,5,5,0,0,100,156874,1703,96
02203,2024,14,14,0,0,100,152043,1447,102
02204,2024,2,2,0,0,100,56000,778,75
02205,2024,5,5,0,0,100,88277,1055,90
02208,2024,2,2,0,0,100,172000,1672,103
02209,2024,5,5,0,0,100,128800,2127,64
02210,2024,6,6,0,0,100,128481,1487,86
02211,2024,4,4,0,0,100,162475,1984,83
02212,2024,8,8,0,0,100,86832,1128,74
02213,2024,1,1,0,0,100,95000,1439,66
02214,2024,1,1,0,0,100,195900,1180,166
02215,2024,8,8,0,0,100,169956,1630,117
02216,2024,3,3,0,0,100,141467,1576,90
02217,2024,10,10,0,0,100,139540,1501,95
02218,2024,4,4,0,0,100,107737,923,108
02219,2024,1,0,1,100,0,40000,625,64
02220,2024,4,4,0,0,100,128307,894,137
02221,2024,4,4,0,0,100,167750,1762,100
02222,2024,2,2,0,0,100,103950,846,114
02224,2024,3,3,0,0,100,175183,1744,97
02225,2024,2,2,0,0,100,138000,1309,116
02226,2024,11,10,1,9,91,182000,1662,105
02228,2024,5,5,0,0,100,125250,1309,100
02229,2024,1,1,0,0,100,150000,1339,112
02230,2024,1,1,0,0,100,218000,1371,159
02231,2024,8,8,0,0,100,146802,1336,122
02232,2024,1,1,0,0,100,192000,1920,100
02234,2024,1,1,0,0,100,105000,2386,44
02235,2024,3,3,0,0,100,139400,1278,105
02237,2024,11,11,0,0,100,93173,895,104
02238,2024,16,16,0,0,100,123841,1452,88
02239,2024,8,8,0,0,100,162914,1536,104
02240,2024,1,1,0,0,100,128000,877,146
02242,2024,9,9,0,0,100,132611,1427,96
02243,2024,34,32,2,6,94,132012,1805,78
02245,2024,17,16,1,6,94,153197,1784,87
02246,2024,4,4,0,0,100,153500,1258,138
